Timestamp,Temperature_C,pH,TDS_ppm,Turbidity_NTU
2026-06-25 00:00:00,16.53,7.98,371.0,12.0
2026-06-25 00:05:00,16.51,7.92,368.8,13.9
2026-06-25 00:10:00,16.41,7.89,370.3,10.2
2026-06-25 00:15:00,16.47,8.01,371.3,9.1
2026-06-25 00:20:00,16.3,7.99,369.6,14.1
2026-06-25 00:25:00,16.4,8.02,371.2,12.2
2026-06-25 00:30:00,16.08,7.98,371.2,12.3
2026-06-25 00:35:00,16.28,7.92,369.6,10.1
2026-06-25 00:40:00,16.52,7.88,370.8,11.2
2026-06-25 00:45:00,16.39,7.88,371.0,12.2
2026-06-25 00:50:00,15.92,7.95,368.3,11.8
2026-06-25 00:55:00,16.17,7.9,369.3,10.3
2026-06-25 01:00:00,15.88,8.05,369.3,11.4
2026-06-25 01:05:00,15.88,7.98,369.7,9.7
2026-06-25 01:10:00,15.83,7.93,366.9,12.4
2026-06-25 01:15:00,15.64,7.98,368.4,6.3
2026-06-25 01:20:00,15.8,7.89,368.6,11.0
2026-06-25 01:25:00,15.78,7.94,370.8,11.8
2026-06-25 01:30:00,16.01,7.91,368.4,9.4
2026-06-25 01:35:00,15.62,7.92,368.7,6.9
2026-06-25 01:40:00,15.37,7.81,372.6,9.6
2026-06-25 01:45:00,15.54,7.96,367.2,12.5
2026-06-25 01:50:00,15.75,7.89,367.4,11.9
2026-06-25 01:55:00,15.65,7.89,372.3,11.3
2026-06-25 02:00:00,15.46,7.89,370.4,11.2
2026-06-25 02:05:00,15.83,7.93,370.5,9.7
2026-06-25 02:10:00,15.87,7.93,371.1,10.3
2026-06-25 02:15:00,15.67,7.91,370.2,9.4
2026-06-25 02:20:00,15.55,7.86,372.7,8.1
2026-06-25 02:25:00,15.33,7.86,369.2,12.2
2026-06-25 02:30:00,15.52,7.92,368.9,9.4
2026-06-25 02:35:00,15.39,7.83,370.3,12.5
2026-06-25 02:40:00,15.46,7.92,371.3,12.2
2026-06-25 02:45:00,15.67,7.88,372.2,9.0
2026-06-25 02:50:00,15.42,7.92,368.9,10.4
2026-06-25 02:55:00,15.52,7.89,372.5,12.5
2026-06-25 03:00:00,15.52,7.86,372.4,10.5
2026-06-25 03:05:00,15.49,7.92,371.7,9.6
2026-06-25 03:10:00,15.71,7.79,373.4,8.9
2026-06-25 03:15:00,15.63,7.92,368.3,11.3
2026-06-25 03:20:00,15.86,7.87,371.3,7.7
2026-06-25 03:25:00,15.57,7.86,373.3,10.9
2026-06-25 03:30:00,15.51,7.87,372.6,11.3
2026-06-25 03:35:00,15.55,7.82,368.9,8.7
2026-06-25 03:40:00,15.37,7.95,371.1,6.7
2026-06-25 03:45:00,15.91,7.84,370.1,8.0
2026-06-25 03:50:00,15.56,7.83,373.5,13.0
2026-06-25 03:55:00,15.66,7.86,372.9,9.0
2026-06-25 04:00:00,15.64,7.79,369.2,13.8
2026-06-25 04:05:00,15.31,7.81,369.6,10.7
2026-06-25 04:10:00,15.64,7.92,370.2,10.3
2026-06-25 04:15:00,15.57,7.88,369.1,7.8
2026-06-25 04:20:00,15.74,7.87,367.8,12.5
2026-06-25 04:25:00,15.81,7.8,370.6,9.6
2026-06-25 04:30:00,15.45,7.83,369.4,10.9
2026-06-25 04:35:00,15.72,7.88,369.8,9.3
2026-06-25 04:40:00,15.99,7.84,370.2,14.8
2026-06-25 04:45:00,15.9,7.79,372.1,11.0
2026-06-25 04:50:00,16.08,7.86,368.9,11.0
2026-06-25 04:55:00,15.6,7.91,370.7,12.1
2026-06-25 05:00:00,15.66,7.82,369.0,13.7
2026-06-25 05:05:00,15.87,7.98,375.8,11.1
2026-06-25 05:10:00,15.93,7.91,371.4,9.2
2026-06-25 05:15:00,16.24,7.87,369.1,10.1
2026-06-25 05:20:00,16.38,7.85,370.7,9.5
2026-06-25 05:25:00,16.38,7.95,372.1,11.9
2026-06-25 05:30:00,16.4,7.87,371.4,9.1
2026-06-25 05:35:00,16.42,7.81,369.4,11.7
2026-06-25 05:40:00,16.52,7.84,371.3,9.3
2026-06-25 05:45:00,16.23,7.86,370.0,10.6
2026-06-25 05:50:00,16.36,7.83,367.5,11.3
2026-06-25 05:55:00,16.92,7.86,370.6,11.5
2026-06-25 06:00:00,16.55,7.9,367.6,9.5
2026-06-25 06:05:00,16.38,7.87,372.9,11.3
2026-06-25 06:10:00,16.54,7.84,370.7,10.9
2026-06-25 06:15:00,16.74,7.95,372.2,7.9
2026-06-25 06:20:00,17.27,7.87,368.0,8.9
2026-06-25 06:25:00,16.61,7.9,369.8,10.4
2026-06-25 06:30:00,16.69,7.91,369.9,13.2
2026-06-25 06:35:00,17.01,7.84,370.8,14.3
2026-06-25 06:40:00,16.89,7.87,372.3,14.3
2026-06-25 06:45:00,16.74,7.86,369.9,12.2
